Rank	Nickname	CountOfTeammates
1	brainless tee	263
2	Noctua	260
3	Cendren	248
4	bano	227
5	<BµmM>	189
6	fikmesån	189
7	nameless tee	185
8	iParano	183
9	KlexMikrowelle	183
10	Cireme	180
11	Aoe	169
12	HaHAxD*	168
13	Cøke	167
14	triki	166
15	:)	166
16	Freezestyler	165
17	Kicker	165
18	ZimE	162
19	(1)	160
20	Chairn	155
21	shoxX	151
22	GlobQ	144
23	Konsti	143
24	BaconDrink	143
25	Esckiller	141
26	PeX	140
27	Hindu	137
28	Starkiller	137
29	Cor	137
30	TeeWurst Neon	136
31	AvapiX	136
32	'faceless	136
33	Avasus	135
34	DaGiese :>	134
35	Meow~	134
36	lufu1	131
37	jao	131
38	Yota.	129
39	LCSG47	128
40	Tezcan	125
41	Deathman	125
42	StorмPʜöɴix	124
43	NeXus	123
44	Slayer	121
45	coradax	121
46	Donger	121
47	Theon	121
48	krümelmonster	120
49	ano :3	119
50	Poltix	119
51	nothing	117
52	Elit3N0ob	117
53	Zhady	116
54	|Ŗaþŧurę|	115
55	=Schulzer=	115
56	Black Jack	114
57	Kill4FuN	114
58	qed	113
59	Bolox	112
60	Colo-Colo	112
61	Gorden	112
62	ScReeNy	110
63	superob96	110
64	Exotix	108
65	Large	108
66	gB. | Kayumi	107
67	*|Loading*	107
68	lola	106
69	Genex	105
70	Lady Saavik	104
71	SPΞCTRUM	104
72	Knacker	104
73	PlantKnight	104
74	Jojo	103
75	Smetanolub	103
76	Joker.♥	102
77	hannibal	101
78	-Twist°~	101
79	ad	101
80	Jesus Christ	101
81	Crytek	100
82	Tea	100
83	LuckyStrike	100
84	I.K.U	100
85	Sir Kruksic	99
86	R41NB0W	99
87	xXxTee'	99
88	Element Finland	98
89	|JB*|Golden Axe	98
90	Lexin	97
91	AspHyXiA	97
92	Ryozuki	97
93	simple	97
94	RayB.	96
95	rezee	96
96	Baby Groot	95
97	WhiteBULL	94
98	Novo c:	94
99	Knuski	94
100	H٤иđعгĩα	94
101	Hidden-Ezio	93
102	RavenXXX	93
103	maggi323	93
104	LanuX	93
105	☆.Sυsнι♪	92
106	Счастье	92
107	clefairy'	92
108	Reed	92
109	YaaOmo	91
110	Shima enaga	91
111	Wombat	90
112	Gambol	90
113	NANAMAR	90
114	Spooky	90
115	Brezzel	89
116	Welf	89
117	Hydra	89
118	Habibi57	89
119	Shawn.	89
120	Skindred	89
121	Deeper	89
122	Fluday	89
123	Neben	89
124	Gurky	88
125	---------	87
126	Cloudly	87
127	tatak	87
128	Keun	87
129	Teeson	86
130	corneum	86
131	froid.'	86
132	yo bitch	86
133	Natsume	86
134	Spyker	85
135	Yuzu	85
136	4twenty!	85
137	B/\\NKSY²	85
138	Noved	84
139	Hesse	84
140	Lecter	84
141	TOWARISH	84
142	aMu	83
143	MDMA	83
144	afterfx	83
145	Isaac.	83
146	-Mage-	82
147	timakro	81
148	RoyalSeriousLee	81
149	Mr.E}|{UK	81
150	BlueMeww	81
151	chopnixDE	80
152	Men of Steel	80
153	Infern@L	80
154	VéNa	80
155	Matrix	80
156	Skeptar	79
157	⚡-ӃR١✗✗	79
158	Kandiifloss	79
159	Мамбо	79
160	Gooran	79
161	Pio	78
162	Bug	78
163	Plowpowa	78
164	Beast	77
165	Ama	76
166	Sir Skeleton	76
167	٭ıƞdex'<3	76
168	Bre3kAcHu	76
169	Moiman	76
170	sorgaxD	76
171	Noez	76
172	Ske	76
173	Łorenzo→♡	76
174	ReD	75
175	Weedbärchiii	74
176	x.RaveN'	74
177	Cherry	74
178	secreT	73
179	russsell	73
180	1	73
181	flash	73
182	Farbod	73
183	gB. | Zerodin	72
184	superdial	72
185	keepmypl	72
186	Zwelf	72
187	MilTee	72
188	hZedres	72
189	Reonarex	72
190	Fumm	71
191	^b[Bro] flummi	71
192	tobu.	71
193	Luna	71
194	Ganjah	71
195	murpi	71
196	sux	71
197	Tropo	71
198	Dropix	71
199	Forris	70
200	FanTal1ty	70
